ticket_id,title,description,resolution,category,subcategory,priority,status,assignee,assignee_team,created_at,resolved_at,resolution_time_hrs,tags
T-205,Cannot install Homebrew on new Mac,Homebrew install script fails with 'Permission denied' on new corporate MacBook.,Device not MDM-enrolled. Enrolled via Jamf Self Service. Homebrew install succeeded after enrollment.,IT,Laptop Setup,P2,Closed,meera.iyer,IT Support,2025-03-19,2025-03-19,9.6,"laptop,setup,macos,dev-environment"
T-306,Incorrect HRA calculation,HRA component in my payslip looks incorrect. City changed to metro last month.,HR updated city classification to metro in HRMS. HRA recalculated from month start.,HR,Payroll,P3,Closed,kavita.desai,HR Operations,2025-03-20,2025-03-20,4.4,"payroll,salary,hr,reimbursement"
T-104,Request access to engineering GitHub org,Just joined the engineering team. Need to be added to the GitHub organisation.,Sent GitHub org invitation. Added to engineering-all team. Confirmed user can access all team repos.,Access,GitHub,P3,Resolved,suresh.nair,IT Support,2025-03-17,2025-03-17,2.3,"github,access,permissions,sso"
T-208,SSH keys not working after new laptop,"New laptop, copied SSH keys but Git push failing authentication. Keys not being picked up.","Wrong SSH key format. Regenerated ed25519 key, added to GitHub, updated ~/.ssh/config. Auth working.",IT,Laptop Setup,P2,Closed,raj.mehta,IT Support,2025-03-20,2025-03-20,11.2,"laptop,setup,macos,dev-environment"
T-303,Leave balance not updated,I took 3 days leave last week but my leave balance still shows the same number.,Leave management system sync delay. Manually updated leave balance in HRMS. Shows correct now.,HR,Payroll,P3,Closed,ravi.kumar,HR Operations,2025-03-16,2025-03-16,22.6,"payroll,salary,hr,reimbursement"
T-101,Need access to GitHub repo,I need access to the backend-api repository to start working on my tasks. Manager approved.,Manager approval verified in email. Added user to GitHub org via admin console. Granted read access to backend-api repo.,Access,GitHub,P2,Closed,deepa.krishnan,IT Support,2025-03-13,2025-03-13,3.3,"github,access,permissions,sso"
T-302,Wrong tax deduction in payslip,Tax deducted this month seems much higher than usual. Possible error in TDS calculation.,TDS recalculated. Previous month had arrears that caused spike. Corrected in next payroll.,HR,Payroll,P2,Resolved,ravi.kumar,HR Operations,2025-03-25,2025-03-25,22.9,"payroll,salary,hr,reimbursement"
T-207,VS Code extensions not installing,VS Code marketplace not loading. Extensions failing to install. Proxy issue maybe.,Configured proxy in VS Code settings.json. Set http.proxy to corporate proxy URL. Extensions loading.,IT,Laptop Setup,P3,Closed,meera.iyer,IT Support,2025-02-27,2025-02-27,3.5,"laptop,setup,macos,dev-environment"
T-102,Cannot clone internal repository,Getting 'repository not found' when trying to clone internal repo. Assume it's a permissions issue.,User not in GitHub org. Sent invite via GitHub admin. User accepted. Repository now visible.,Access,GitHub,P2,Closed,suresh.nair,IT Support,2025-03-16,2025-03-16,2.0,"github,access,permissions,sso"
T-048,Unable to connect VPN from home,"Working from home, VPN was fine last week. Now it won't connect at all.",Full AnyConnect uninstall + reinstall with latest profile from IT portal. Connected.,IT,VPN,P2,Closed,priya.sharma,Network Engineering,2025-03-07,2025-03-07,7.8,"vpn,anyconnect,windows,network"
T-112,Need write access to deployment repo,Need write/admin access to the k8s-deployments repo to push release artifacts.,Granted Admin role on k8s-deployments repo. Verified push and release creation working.,Access,GitHub,P3,Resolved,suresh.nair,IT Support,2025-03-17,2025-03-17,4.0,"github,access,permissions,sso"
T-107,Access denied to private repo,Private repo shows 404 even after logging in. Think I need to be added.,"Added user to private-repos GitHub team via admin. 404 resolved, repo accessible.",Access,GitHub,P3,Closed,deepa.krishnan,IT Support,2025-03-20,2025-03-20,3.0,"github,access,permissions,sso"
T-203,Dev environment setup not working,Followed onboarding doc but Python/pip not found. Fresh MacBook setup.,Installed pyenv via Homebrew. Set Python 3.11 as default. pip and venv working.,IT,Laptop Setup,P3,Closed,raj.mehta,IT Support,2025-02-22,2025-02-22,4.9,"laptop,setup,macos,dev-environment"
T-049,VPN client crashes on launch,AnyConnect client crashes with no error message. Have to force-close it.,"Disabled Windows Defender real-time protection temporarily, reinstalled AnyConnect, re-enabled protection.",IT,VPN,P2,Closed,priya.sharma,Network Engineering,2025-03-03,2025-03-03,4.9,"vpn,anyconnect,windows,network"
T-053,Split tunnel VPN not routing,"Connected to VPN but cannot reach internal servers, only internet works.",Reconfigured split tunnel policy via AnyConnect profile editor. All routing now correct.,IT,VPN,P2,Closed,priya.sharma,Network Engineering,2025-03-23,2025-03-23,3.3,"vpn,anyconnect,windows,network"
T-041,VPN not connecting after Windows update,"After installing the latest Windows update, Cisco AnyConnect fails to connect. Error: 'Unable to establish VPN'. Tried restarting.","Uninstalled AnyConnect, deleted HKLM\SOFTWARE\Cisco\Cisco AnyConnect registry key, reinstalled AnyConnect 4.10. Issue resolved.",IT,VPN,P2,Closed,raj.mehta,Network Engineering,2025-03-21,2025-03-21,3.6,"vpn,anyconnect,windows,network"
T-043,Cannot connect to corporate VPN,Getting 'Connection attempt failed' error when trying to connect to VPN. Was working fine yesterday.,Deleted corrupted VPN profile from %ProgramData%\Cisco. Reinstalled client. Resolved.,IT,VPN,P2,Closed,priya.sharma,Network Engineering,2025-03-19,2025-03-19,5.1,"vpn,anyconnect,windows,network"
T-307,Investment declaration not saved,Tried to save investment declaration but getting error. Deadline is tomorrow.,Investment declaration portal had server error. IT fixed. User saved declaration successfully.,HR,Payroll,P3,Closed,kavita.desai,HR Operations,2025-03-10,2025-03-10,5.4,"payroll,salary,hr,reimbursement"
T-204,Python not found after laptop reset,Wiped and reset laptop. Now Python 3 is missing. Need to set up environment again.,"Installed pyenv, set global Python to 3.11.6. Added pyenv to .zshrc. pip working.",IT,Laptop Setup,P2,Closed,raj.mehta,IT Support,2025-02-15,2025-02-15,11.5,"laptop,setup,macos,dev-environment"
T-301,Salary not credited this month,My salary for March has not been credited to my account. Today is the 5th.,Payroll team confirmed processing delay due to bank holiday. Salary credited within 24 hours.,HR,Payroll,P2,Closed,kavita.desai,HR Operations,2025-03-12,2025-03-12,18.6,"payroll,salary,hr,reimbursement"
T-110,Cannot see team repositories on GitHub,Joined team 2 weeks ago but can't see any of the team's private repositories.,User was in org but not assigned to team. Added to correct team. All team repos now visible.,Access,GitHub,P3,Closed,suresh.nair,IT Support,2025-03-29,2025-03-29,1.2,"github,access,permissions,sso"
T-308,Form 16 not received,Financial year ended. Still haven't received Form 16 for ITR filing.,Form 16 generated and emailed to registered email. Also available in HR portal under Documents.,HR,Payroll,P2,Closed,kavita.desai,HR Operations,2025-03-12,2025-03-12,22.1,"payroll,salary,hr,reimbursement"
T-046,VPN authentication failure,VPN keeps asking for credentials then failing. Password is definitely correct.,Cleared credential cache via Windows Credential Manager. VPN auth working again.,IT,VPN,P2,Closed,raj.mehta,Network Engineering,2025-03-15,2025-03-15,5.9,"vpn,anyconnect,windows,network"
T-045,AnyConnect error after KB5034441,Error message: 'AnyConnect was not able to establish a connection'. Windows update KB5034441 installed this morning.,"Registry key HKLM\SOFTWARE\Cisco overwritten by Windows update. Deleted key, reinstalled AnyConnect.",IT,VPN,P3,Closed,raj.mehta,Network Engineering,2025-03-23,2025-03-23,6.2,"vpn,anyconnect,windows,network"
T-105,Cannot push to GitHub repository,Can read repos but getting 'permission denied' when pushing. Need write access.,Changed repo permission from Read to Write for user. Confirmed push access working.,Access,GitHub,P2,Resolved,deepa.krishnan,IT Support,2025-03-12,2025-03-12,5.1,"github,access,permissions,sso"
T-050,Network access lost after update,"After Windows update, lost access to all internal network resources.",Rolled back Windows update KB5034441. Reinstalled AnyConnect. Network access restored.,IT,VPN,P2,Closed,ankit.verma,Network Engineering,2025-03-20,2025-03-20,4.3,"vpn,anyconnect,windows,network"
T-305,Payslip not available on portal,Cannot download March payslip from HR portal. Page shows blank after login.,"Session timeout issue on HR portal. Cleared cache, used incognito. Payslip downloadable now.",HR,Payroll,P2,Closed,kavita.desai,HR Operations,2025-03-26,2025-03-26,13.0,"payroll,salary,hr,reimbursement"
T-210,Node.js version conflict on new machine,Project needs Node 18 but system has Node 20. nvm install failing.,Installed nvm via Homebrew. Set default to Node 18.19. Project dependencies installed successfully.,IT,Laptop Setup,P2,Closed,meera.iyer,IT Support,2025-03-02,2025-03-02,2.6,"laptop,setup,macos,dev-environment"
T-042,Cisco AnyConnect fails on startup,AnyConnect opens then immediately crashes. Happened after automatic Windows update last night.,"Ran AnyConnect repair, cleared profile cache, reinstalled. Working now.",IT,VPN,P2,Closed,priya.sharma,Network Engineering,2025-03-08,2025-03-08,3.7,"vpn,anyconnect,windows,network"
